date,auteur,titre,fabula
1865,chatrian erckmann,waterloo,False
1865,paul feval,les habits noirs,False
1865,theophile gautier,la belle jenny,True
1865,albert kaempfen,la tasse a the,False
1865,rene du mesnil maricourt,donatien,False
1865,du terrail pierre alexis de ponson,le castel du diable,False
1865,du terrail pierre alexis de ponson,les nuits du quartier breda juliette,False
1865,du terrail pierre ponson,le chambrion,False
1865,clemence robert,le baron de trenck,False
1865,george sand,monsieur sylvestre,True
1865,aurelien scholl,les gens tares,False
1865,jules verne,de la terre a la lune,True
1865,jules  verne,les forceurs de blocus,True
1866,h emile chevalier,la fille des indiens rouges,False
1866,chatrian erckmann,le blocus,False
1866,octave feuillet,monsieur de camors,False
